[-9.81718063 -0.23231679 -0.73886323], [ 0.18310553  0.06103517 -0.12207034]
[-9.82436752 -0.23590934 -0.74245572], [ 0.12207034  0.12207034 -0.12207034]
[-9.82795715 -0.23710686 -0.74245572], [ 0.12207034  0.12207034 -0.12207034]
[-9.82197189 -0.23950189 -0.74006081], [ 0.18310553  0.12207034 -0.12207034]
[-9.82197189 -0.23950189 -0.73766565], [ 0.12207034  0.12207034 -0.12207034]
[-9.82436752 -0.24668694 -0.73766565], [ 0.12207034  0.06103517 -0.12207034]
[-9.81957626 -0.2442919  -0.7436533 ], [ 0.12207034  0.12207034 -0.12207034]
[-9.81837845 -0.23590934 -0.74604821], [ 0.18310553  0.12207034 -0.12207034]
[-9.81598282 -0.23471183 -0.74844337], [ 0.18310553  0.12207034 -0.12207034]
[-9.81718063 -0.24069941 -0.74604821], [ 0.18310553  0.12207034 -0.12207034]
[-9.81718063 -0.23950189 -0.74245572], [ 0.18310553  0.06103517 -0.12207034]
[-9.81957626 -0.23710686 -0.73886323], [ 0.18310553  0.06103517 -0.12207034]
[-9.82915497 -0.23830438 -0.74245572], [ 0.18310553  0.06103517 -0.12207034]
[-9.82795715 -0.23710686 -0.73886323], [ 0.18310553  0.06103517 -0.18310553]
[-9.82316971 -0.23830438 -0.74006081], [ 0.18310553  0.06103517 -0.12207034]
[-9.82316971 -0.23471183 -0.7436533 ], [ 0.12207034  0.06103517 -0.12207034]
[-9.82676315 -0.23231679 -0.74125838], [ 0.18310553  0.12207034 -0.18310553]
[-9.82556534 -0.23830438 -0.7436533 ], [ 0.18310553  0.12207034 -0.18310553]
[-9.82556534 -0.23351431 -0.7436533 ], [ 0.18310553  0.12207034 -0.12207034]
[-9.82795715 -0.23590934 -0.74006081], [ 0.18310553  0.12207034 -0.18310553]
[-9.82436752 -0.24189687 -0.73167825], [ 0.18310553  0.06103517 -0.18310553]
[-9.82556534 -0.23590934 -0.73886323], [ 0.18310553  0.12207034 -0.12207034]
[-9.8315506  -0.23231679 -0.74125838], [ 0.18310553  0.06103517 -0.12207034]
[-9.82676315 -0.23231679 -0.73886323], [ 0.18310553  0.06103517 -0.18310553]
[-9.82316971 -0.23231679 -0.7436533 ], [ 0.18310553  0.12207034 -0.18310553]
[-9.82556534 -0.23231679 -0.74245572], [ 0.12207034  0.06103517 -0.12207034]
[-9.82077408 -0.23590934 -0.73527074], [ 0.18310553  0.12207034 -0.12207034]
[-9.82795715 -0.23830438 -0.74125838], [ 0.18310553  0.06103517 -0.12207034]
[-9.82436752 -0.23590934 -0.74245572], [ 0.18310553  0.06103517 -0.12207034]
[-9.82795715 -0.23590934 -0.74125838], [ 0.18310553  0.12207034 -0.18310553]
[-9.82676315 -0.23950189 -0.74485087], [ 0.18310553  0.06103517 -0.18310553]
[-9.82436752 -0.23830438 -0.74485087], [ 0.18310553  0.06103517 -0.18310553]
[-9.82795715 -0.23351431 -0.7436533 ], [ 0.12207034  0.06103517 -0.18310553]
[-9.82795715 -0.23231679 -0.73886323], [ 0.18310553  0.12207034 -0.18310553]
[-9.82556534 -0.23950189 -0.74125838], [ 0.18310553  0.12207034 -0.12207034]
[-9.82436752 -0.2442919  -0.74245572], [ 0.18310553  0.06103517 -0.12207034]
[-9.81957626 -0.23471183 -0.74245572], [ 0.18310553  0.12207034 -0.12207034]
[-9.81837845 -0.23231679 -0.73886323], [ 0.18310553  0.06103517 -0.12207034]
[-9.82077408 -0.2442919  -0.72688818], [ 0.18310553  0.06103517 -0.12207034]
[-9.81598282 -0.25027943 -0.72928309], [ 0.18310553  0.12207034 -0.18310553]
[-9.82077408 -0.24069941 -0.7436533 ], [ 0.18310553  0.06103517 -0.12207034]
[-9.82915497 -0.23231679 -0.74724579], [ 0.12207034  0.06103517 -0.18310553]
[-9.83035278 -0.23351431 -0.75203586], [ 0.18310553  0.06103517 -0.12207034]
[-9.82915497 -0.23590934 -0.74844337], [ 0.18310553  0.12207034 -0.12207034]
[-9.82556534 -0.23710686 -0.74964094], [ 0.18310553  0.12207034 -0.12207034]
[-9.83394623 -0.23710686 -0.74724579], [ 0.18310553  0.12207034 -0.18310553]
[-9.8315506  -0.23710686 -0.74245572], [ 0.18310553  0.12207034 -0.18310553]
[-9.82676315 -0.22992182 -0.74125838], [ 0.18310553  0.12207034 -0.12207034]
[-9.82795715 -0.23471183 -0.74125838], [ 0.18310553  0.12207034 -0.12207034]
[-9.82436752 -0.23830438 -0.74006081], [ 0.18310553  0.12207034 -0.12207034]
[-9.81598282 -0.24548942 -0.74964094], [ 0.18310553  0.12207034 -0.12207034]
[-9.81837845 -0.23710686 -0.74125838], [ 0.18310553  0.12207034 -0.12207034]
[-9.82795715 -0.23231679 -0.73886323], [ 0.12207034  0.12207034 -0.18310553]
[-9.83394623 -0.24189687 -0.74245572], [ 0.18310553  0.12207034 -0.18310553]
[-9.83035278 -0.24788445 -0.74485087], [ 0.18310553  0.12207034 -0.12207034]
[-9.82556534 -0.24069941 -0.74245572], [ 0.18310553  0.12207034 -0.12207034]
[-9.82316971 -0.23710686 -0.74245572], [ 0.18310553  0.12207034 -0.12207034]
[-9.82436752 -0.2442919  -0.74245572], [ 0.18310553  0.06103517 -0.18310553]
[-9.82795715 -0.24548942 -0.74006081], [ 0.18310553  0.06103517 -0.12207034]
[-9.82197189 -0.23950189 -0.7436533 ], [ 0.18310553  0.06103517 -0.18310553]
[-9.82915497 -0.23231679 -0.74125838], [ 0.18310553  0.12207034 -0.18310553]
[-9.83274841 -0.24069941 -0.73766565], [ 0.18310553  0.06103517 -0.12207034]
[-9.83035278 -0.23471183 -0.73527074], [ 0.18310553  0.12207034 -0.12207034]
[-9.82676315 -0.22752678 -0.73646832], [ 0.18310553  0.12207034 -0.18310553]
[-9.82077408 -0.22752678 -0.74485087], [ 0.18310553  0.12207034 -0.12207034]
[-9.82556534 -0.23231679 -0.74724579], [ 0.18310553  0.12207034 -0.18310553]
[-9.82795715 -0.23590934 -0.74245572], [ 0.18310553  0.06103517 -0.12207034]
[-9.82556534 -0.2287243  -0.74125838], [ 0.18310553  0.12207034 -0.12207034]
[-9.82676315 -0.2287243  -0.74245572], [ 0.18310553  0.12207034 -0.12207034]
[-9.83035278 -0.23710686 -0.74006081], [ 0.12207034  0.06103517 -0.12207034]
[-9.814785   -0.24189687 -0.7436533 ], [ 0.18310553  0.12207034 -0.12207034]
[-9.81837845 -0.23710686 -0.74604821], [ 0.18310553  0.12207034 -0.12207034]
[-9.82197189 -0.23950189 -0.74485087], [ 0.18310553  0.12207034 -0.12207034]
[-9.82556534 -0.23950189 -0.74245572], [ 0.18310553  0.06103517 -0.12207034]
[-9.82556534 -0.23590934 -0.74006081], [ 0.18310553  0.06103517 -0.12207034]
[-9.82556534 -0.23111933 -0.73886323], [ 0.18310553  0.12207034 -0.12207034]
[-9.82556534 -0.22992182 -0.74125838], [ 0.18310553  0.12207034 -0.18310553]
[-9.82556534 -0.23830438 -0.74485087], [ 0.18310553  0.06103517 -0.12207034]
[-9.82795715 -0.23830438 -0.7436533 ], [ 0.18310553  0.12207034 -0.18310553]
[-9.82676315 -0.23590934 -0.74125838], [ 0.18310553  0.12207034 -0.12207034]
[-9.82556534 -0.24189687 -0.74125838], [ 0.18310553  0.12207034 -0.12207034]
[-9.81837845 -0.24069941 -0.73886323], [ 0.18310553  0.06103517 -0.12207034]
[-9.82197189 -0.23471183 -0.74245572], [ 0.18310553  0.12207034 -0.12207034]
[-9.82077408 -0.22632927 -0.74485087], [ 0.18310553  0.12207034 -0.18310553]
[-9.84113312 -0.23710686 -0.73527074], [ 0.18310553  0.12207034 -0.18310553]
[-9.82556534 -0.23830438 -0.73287582], [ 0.18310553  0.06103517 -0.18310553]
[-9.82077408 -0.23471183 -0.74245572], [ 0.18310553  0.06103517 -0.12207034]
[-9.82436752 -0.23351431 -0.74844337], [ 0.18310553  0.06103517 -0.18310553]
[-9.82197189 -0.23590934 -0.74604821], [ 0.18310553  0.12207034 -0.18310553]
[-9.81598282 -0.23351431 -0.74125838], [ 0.18310553  0.06103517 -0.12207034]
[-9.81598282 -0.23231679 -0.74125838], [ 0.24414068  0.12207034 -0.12207034]
[-9.82556534 -0.23950189 -0.73886323], [ 0.18310553  0.12207034 -0.12207034]
[-9.82795715 -0.24309438 -0.73886323], [ 0.18310553  0.06103517 -0.18310553]
[-9.82676315 -0.24069941 -0.74245572], [ 0.24414068  0.12207034 -0.12207034]
[-9.83035278 -0.23590934 -0.74125838], [ 0.18310553  0.06103517 -0.18310553]
[-9.82077408 -0.24189687 -0.74485087], [ 0.24414068  0.12207034 -0.12207034]
[-9.82556534 -0.23111933 -0.7436533 ], [ 0.18310553  0.12207034 -0.12207034]
[-9.82915497 -0.22632927 -0.73886323], [ 0.18310553  0.12207034 -0.18310553]
[-9.83035278 -0.23950189 -0.74245572], [ 0.18310553  0.12207034 -0.18310553]
[-9.82197189 -0.24788445 -0.73886323], [ 0.18310553  0.12207034 -0.18310553]
[-9.82197189 -0.2442919  -0.73886323], [ 0.18310553  0.06103517 -0.18310553]
[-9.82316971 -0.24548942 -0.73167825], [ 0.18310553  0.06103517 -0.12207034]
[-9.82436752 -0.24668694 -0.73527074], [ 0.18310553  0.12207034 -0.18310553]
[-9.82436752 -0.2442919  -0.74485087], [ 0.18310553  0.12207034 -0.18310553]
[-9.82795715 -0.24668694 -0.74485087], [ 0.18310553  0.06103517 -0.12207034]
[-9.81957626 -0.23830438 -0.74125838], [ 0.24414068  0.12207034 -0.12207034]
[-9.81837845 -0.24069941 -0.74006081], [ 0.18310553  0.06103517 -0.12207034]
[-9.82676315 -0.23590934 -0.7436533 ], [ 0.18310553  0.06103517 -0.18310553]
[-9.82436752 -0.23351431 -0.7436533 ], [ 0.18310553  0.06103517 -0.12207034]
[-9.82077408 -0.23950189 -0.74485087], [ 0.18310553  0.12207034 -0.12207034]
[-9.82436752 -0.23710686 -0.74604821], [ 0.18310553  0.12207034 -0.12207034]
[-9.82676315 -0.23471183 -0.75203586], [ 0.18310553  0.12207034 -0.18310553]
[-9.82676315 -0.23830438 -0.74844337], [ 0.18310553  0.12207034 -0.12207034]
[-9.82436752 -0.24309438 -0.74485087], [ 0.18310553  0.12207034 -0.12207034]
[-9.81837845 -0.24309438 -0.74844337], [ 0.18310553  0.12207034 -0.12207034]
[-9.82197189 -0.24189687 -0.74485087], [ 0.18310553  0.06103517 -0.12207034]
[-9.82077408 -0.23710686 -0.74485087], [ 0.24414068  0.06103517 -0.12207034]
[-9.81837845 -0.23830438 -0.74245572], [ 0.18310553  0.06103517 -0.12207034]
[-9.82795715 -0.23710686 -0.73766565], [ 0.18310553  0.06103517 -0.12207034]
[-9.8315506  -0.23351431 -0.73886323], [ 0.18310553  0.12207034 -0.12207034]
[-9.82556534 -0.23830438 -0.7436533 ], [ 0.18310553  0.12207034 -0.18310553]
[-9.82795715 -0.2442919  -0.74125838], [ 0.24414068  0.12207034 -0.18310553]
[-9.82795715 -0.23830438 -0.73766565], [ 0.18310553  0.12207034 -0.12207034]
[-9.82915497 -0.23830438 -0.74125838], [ 0.18310553  0.12207034 -0.12207034]
[-9.83035278 -0.23471183 -0.74604821], [ 0.18310553  0.12207034 -0.12207034]
[-9.82077408 -0.24309438 -0.74604821], [ 0.18310553  0.12207034 -0.12207034]
[-9.82556534 -0.24309438 -0.73886323], [ 0.24414068  0.12207034 -0.18310553]
[-9.81957626 -0.23590934 -0.74006081], [ 0.18310553  0.12207034 -0.18310553]
[-9.81598282 -0.23710686 -0.74964094], [ 0.18310553  0.12207034 -0.12207034]
[-9.81718063 -0.24189687 -0.75203586], [ 0.18310553  0.12207034 -0.12207034]
[-9.82795715 -0.23351431 -0.7436533 ], [ 0.18310553  0.12207034 -0.12207034]
[-9.82676315 -0.23111933 -0.74006081], [ 0.18310553  0.12207034 -0.12207034]
[-9.82077408 -0.23710686 -0.74485087], [ 0.18310553  0.06103517 -0.12207034]
[-9.82197189 -0.23111933 -0.7436533 ], [ 0.18310553  0.12207034 -0.18310553]
[-9.82556534 -0.23351431 -0.73646832], [ 0.24414068  0.12207034 -0.18310553]
[-9.83394623 -0.23590934 -0.74485087], [ 0.18310553  0.12207034 -0.18310553]
[-9.83394623 -0.23471183 -0.74844337], [ 0.18310553  0.12207034 -0.12207034]
[-9.82915497 -0.23471183 -0.75443077], [ 0.18310553  0.12207034 -0.12207034]
[-9.82915497 -0.23710686 -0.74844337], [ 0.18310553  0.06103517 -0.12207034]
[-9.82436752 -0.23471183 -0.74245572], [ 0.18310553  0.06103517 -0.12207034]
[-9.82077408 -0.23351431 -0.74245572], [ 0.24414068  0.12207034 -0.12207034]
[-9.814785   -0.24069941 -0.74485087], [ 0.18310553  0.12207034 -0.12207034]
[-9.814785   -0.23830438 -0.74844337], [ 0.18310553  0.12207034 -0.12207034]
[-9.82436752 -0.23351431 -0.74485087], [ 0.18310553  0.12207034 -0.12207034]
[-9.82556534 -0.23231679 -0.74125838], [ 0.18310553  0.06103517 -0.18310553]
[-9.82795715 -0.23710686 -0.74485087], [ 0.18310553  0.12207034 -0.12207034]
[-9.82676315 -0.24548942 -0.7436533 ], [ 0.24414068  0.12207034 -0.12207034]
[-9.82077408 -0.24189687 -0.74125838], [ 0.18310553  0.12207034 -0.12207034]
[-9.82436752 -0.23471183 -0.74485087], [ 0.18310553  0.12207034 -0.12207034]
[-9.82556534 -0.24189687 -0.74844337], [ 0.24414068  0.12207034 -0.12207034]
[-9.82197189 -0.23710686 -0.74844337], [ 0.24414068  0.12207034 -0.12207034]
[-9.82436752 -0.23111933 -0.74844337], [ 0.18310553  0.06103517 -0.12207034]
[-9.82556534 -0.23351431 -0.74485087], [ 0.18310553  0.06103517 -0.12207034]
[-9.8315506  -0.24069941 -0.74245572], [ 0.18310553  0.06103517 -0.12207034]
[-9.8315506  -0.24788445 -0.74125838], [ 0.18310553  0.06103517 -0.12207034]
[-9.82556534 -0.24309438 -0.74604821], [ 0.18310553  0.12207034 -0.12207034]
[-9.82556534 -0.23950189 -0.74844337], [ 0.18310553  0.12207034 -0.12207034]
[-9.82556534 -0.23710686 -0.74604821], [ 0.24414068  0.12207034 -0.12207034]
[-9.82077408 -0.23471183 -0.74485087], [ 0.24414068  0.12207034 -0.18310553]
[-9.81837845 -0.24309438 -0.7436533 ], [ 0.18310553  0.12207034 -0.12207034]
[-9.83035278 -0.24309438 -0.74485087], [ 0.18310553  0.06103517 -0.12207034]
[-9.82795715 -0.23830438 -0.75203586], [ 0.18310553  0.12207034 -0.12207034]
[-9.82676315 -0.24069941 -0.74844337], [ 0.24414068  0.12207034 -0.12207034]
[-9.81957626 -0.23590934 -0.74006081], [ 0.24414068  0.06103517 -0.12207034]
[-9.82197189 -0.23950189 -0.74125838], [ 0.24414068  0.12207034 -0.12207034]
[-9.82197189 -0.23830438 -0.7436533 ], [ 0.18310553  0.12207034 -0.12207034]
[-9.82077408 -0.23710686 -0.74485087], [ 0.24414068  0.12207034 -0.18310553]
[-9.82077408 -0.23710686 -0.74485087], [ 0.18310553  0.12207034 -0.18310553]
[-9.82197189 -0.23830438 -0.74724579], [ 0.18310553  0.06103517 -0.18310553]
[-9.82077408 -0.23231679 -0.75203586], [ 0.24414068  0.12207034 -0.18310553]
[-9.81598282 -0.2287243  -0.74844337], [ 0.18310553  0.12207034 -0.18310553]
[-9.82077408 -0.23351431 -0.74724579], [ 0.24414068  0.06103517 -0.12207034]
[-9.82676315 -0.23830438 -0.74724579], [ 0.18310553  0.06103517 -0.12207034]
[-9.83394623 -0.23830438 -0.74844337], [ 0.24414068  0.06103517 -0.12207034]
[-9.81957626 -0.23351431 -0.74485087], [ 0.24414068  0.12207034 -0.12207034]
[-9.81598282 -0.24908197 -0.75323343], [ 0.24414068  0.12207034 -0.18310553]
[-9.82197189 -0.24788445 -0.74125838], [ 0.18310553  0.12207034 -0.18310553]
[-9.82556534 -0.23231679 -0.7436533 ], [ 0.24414068  0.12207034 -0.12207034]
[-9.82676315 -0.23590934 -0.74485087], [ 0.24414068  0.06103517 -0.18310553]
[-9.82436752 -0.24069941 -0.74604821], [ 0.24414068  0.06103517 -0.12207034]
[-9.814785   -0.23351431 -0.74844337], [ 0.24414068  0.12207034 -0.18310553]
[-9.81358719 -0.23950189 -0.75443077], [ 0.18310553  0.06103517 -0.12207034]
[-9.82436752 -0.23710686 -0.75443077], [ 0.18310553  0.06103517 -0.12207034]
[-9.82556534 -0.24189687 -0.74844337], [ 0.18310553  0.12207034 -0.18310553]
[-9.82676315 -0.24189687 -0.74844337], [ 0.18310553  0.06103517 -0.18310553]
[-9.82676315 -0.23710686 -0.74964094], [ 0.24414068  0.06103517 -0.18310553]
[-9.82436752 -0.24189687 -0.74604821], [ 0.18310553  0.12207034 -0.18310553]
[-9.82197189 -0.23590934 -0.74006081], [ 0.18310553  0.12207034 -0.12207034]
[-9.82436752 -0.23950189 -0.74604821], [ 0.18310553  0.12207034 -0.12207034]
[-9.82915497 -0.23950189 -0.74964094], [ 0.18310553  0.12207034 -0.18310553]
[-9.82795715 -0.23590934 -0.75443077], [ 0.18310553  0.12207034 -0.18310553]
[-9.82556534 -0.23471183 -0.75562835], [ 0.18310553  0.12207034 -0.18310553]
[-9.82436752 -0.23471183 -0.75083828], [ 0.24414068  0.12207034 -0.12207034]
[-9.82197189 -0.23351431 -0.7436533 ], [ 0.18310553  0.06103517 -0.12207034]
[-9.82077408 -0.23111933 -0.7436533 ], [ 0.18310553  0.12207034 -0.12207034]
[-9.82556534 -0.23111933 -0.74604821], [ 0.24414068  0.12207034 -0.18310553]
[-9.82316971 -0.23351431 -0.74485087], [ 0.24414068  0.12207034 -0.12207034]
[-9.81957626 -0.23590934 -0.74604821], [ 0.24414068  0.12207034 -0.18310553]
[-9.82556534 -0.23830438 -0.74844337], [ 0.18310553  0.12207034 -0.12207034]
[-9.82915497 -0.23710686 -0.74844337], [ 0.24414068  0.12207034 -0.12207034]
[-9.82316971 -0.23231679 -0.74125838], [ 0.18310553  0.12207034 -0.12207034]
[-9.82915497 -0.22992182 -0.7436533 ], [ 0.24414068  0.12207034 -0.18310553]
[-9.8315506  -0.24309438 -0.74604821], [ 0.24414068  0.12207034 -0.12207034]
[-9.83274841 -0.2442919  -0.7436533 ], [ 0.24414068  0.12207034 -0.12207034]
[-9.82795715 -0.24189687 -0.74485087], [ 0.24414068  0.18310553 -0.18310553]
[-9.81957626 -0.23710686 -0.74604821], [ 0.24414068  0.12207034 -0.18310553]
[-9.82556534 -0.23111933 -0.74844337], [ 0.24414068  0.12207034 -0.18310553]
[-9.82795715 -0.23351431 -0.75203586], [ 0.24414068  0.12207034 -0.12207034]
[-9.82795715 -0.23590934 -0.75323343], [ 0.24414068  0.12207034 -0.18310553]
[-9.83035278 -0.23830438 -0.75323343], [ 0.24414068  0.06103517 -0.18310553]
[-9.82316971 -0.23471183 -0.74485087], [ 0.24414068  0.12207034 -0.12207034]
[-9.82436752 -0.24189687 -0.7436533 ], [ 0.24414068  0.12207034 -0.18310553]
[-9.82915497 -0.24189687 -0.74485087], [ 0.18310553  0.12207034 -0.12207034]
[-9.82676315 -0.23590934 -0.75083828], [ 0.18310553  0.12207034 -0.18310553]
[-9.82436752 -0.24069941 -0.74844337], [ 0.24414068  0.12207034 -0.18310553]
[-9.83274841 -0.24548942 -0.7436533 ], [ 0.24414068  0.12207034 -0.12207034]
[-9.83394623 -0.24069941 -0.74604821], [ 0.24414068  0.06103517 -0.18310553]
[-9.82556534 -0.23710686 -0.74844337], [ 0.24414068  0.06103517 -0.18310553]
[-9.82197189 -0.23710686 -0.7436533 ], [ 0.24414068  0.12207034 -0.12207034]
[-9.82795715 -0.23710686 -0.74125838], [ 0.18310553  0.12207034 -0.12207034]
[-9.82077408 -0.23471183 -0.75203586], [ 0.18310553  0.06103517 -0.18310553]
[-9.8315506  -0.23710686 -0.74844337], [ 0.24414068  0.06103517 -0.12207034]
[-9.83274841 -0.24309438 -0.74844337], [ 0.24414068  0.12207034 -0.18310553]
[-9.83035278 -0.24548942 -0.74604821], [ 0.18310553  0.12207034 -0.12207034]
[-9.82676315 -0.23830438 -0.74964094], [ 0.24414068  0.12207034 -0.12207034]
[-9.81957626 -0.23710686 -0.74844337], [ 0.24414068  0.06103517 -0.18310553]
[-9.81957626 -0.24189687 -0.74485087], [ 0.24414068  0.12207034 -0.18310553]
[-9.82436752 -0.23950189 -0.75203586], [ 0.24414068  0.12207034 -0.18310553]
[-9.82556534 -0.24189687 -0.74604821], [ 0.18310553  0.12207034 -0.18310553]
[-9.82556534 -0.24189687 -0.74485087], [ 0.24414068  0.12207034 -0.12207034]
[-9.82316971 -0.23231679 -0.74724579], [ 0.24414068  0.12207034 -0.12207034]
[-9.81957626 -0.23471183 -0.74485087], [ 0.24414068  0.12207034 -0.12207034]
[-9.82197189 -0.22752678 -0.74604821], [ 0.24414068  0.12207034 -0.12207034]
[-9.82676315 -0.23471183 -0.74844337], [ 0.18310553  0.12207034 -0.12207034]
[-9.82676315 -0.23830438 -0.75323343], [ 0.18310553  0.12207034 -0.12207034]
[-9.82316971 -0.23950189 -0.74125838], [ 0.24414068  0.06103517 -0.12207034]
[-9.82197189 -0.23950189 -0.75083828], [ 0.24414068  0.06103517 -0.12207034]
[-9.8315506  -0.24069941 -0.75203586], [ 0.24414068  0.06103517 -0.12207034]
[-9.82436752 -0.24189687 -0.74844337], [ 0.24414068  0.12207034 -0.12207034]
[-9.82676315 -0.23830438 -0.74964094], [ 0.24414068  0.12207034 -0.18310553]
[-9.83035278 -0.24069941 -0.74724579], [ 0.18310553  0.12207034 -0.18310553]
[-9.83394623 -0.24309438 -0.75083828], [ 0.18310553  0.06103517 -0.12207034]
[-9.83394623 -0.24548942 -0.75083828], [ 0.24414068  0.12207034 -0.12207034]
[-9.82795715 -0.24548942 -0.7436533 ], [ 0.24414068  0.12207034 -0.12207034]
[-9.82316971 -0.24189687 -0.74245572], [ 0.24414068  0.12207034 -0.12207034]
[-9.82436752 -0.23830438 -0.74245572], [ 0.18310553  0.12207034 -0.12207034]
[-9.83035278 -0.23590934 -0.74245572], [ 0.24414068  0.12207034 -0.18310553]
[-9.83035278 -0.23950189 -0.74724579], [ 0.24414068  0.06103517 -0.12207034]
[-9.82915497 -0.23950189 -0.75083828], [ 0.24414068  0.06103517 -0.12207034]
[-9.82556534 -0.24309438 -0.74964094], [ 0.18310553  0.12207034 -0.12207034]
[-9.82197189 -0.23830438 -0.74604821], [ 0.30517578  0.12207034 -0.12207034]
[-9.82436752 -0.24189687 -0.74964094], [ 0.24414068  0.12207034 -0.12207034]
[-9.82676315 -0.24069941 -0.74844337], [ 0.24414068  0.12207034 -0.12207034]
[-9.82795715 -0.24069941 -0.74245572], [ 0.18310553  0.06103517 -0.12207034]
[-9.82915497 -0.23830438 -0.74604821], [ 0.18310553  0.06103517 -0.12207034]
[-9.83035278 -0.23351431 -0.75323343], [ 0.24414068  0.06103517 -0.12207034]
[-9.82676315 -0.23351431 -0.75203586], [ 0.24414068  0.06103517 -0.12207034]
[-9.81837845 -0.23351431 -0.74964094], [ 0.24414068  0.12207034 -0.12207034]
[-9.81957626 -0.23710686 -0.74844337], [ 0.24414068  0.12207034 -0.12207034]
[-9.82197189 -0.23830438 -0.74844337], [ 0.24414068  0.06103517 -0.12207034]
[-9.81837845 -0.23351431 -0.74485087], [ 0.24414068  0.06103517 -0.18310553]
[-9.82077408 -0.23950189 -0.74245572], [ 0.24414068  0.06103517 -0.12207034]
[-9.82316971 -0.24189687 -0.74844337], [ 0.18310553  0.12207034 -0.18310553]
[-9.82316971 -0.23830438 -0.75083828], [ 0.24414068  0.06103517 -0.18310553]
[-9.82197189 -0.24069941 -0.75083828], [ 0.24414068  0.12207034 -0.18310553]
[-9.82795715 -0.24309438 -0.74964094], [ 0.24414068  0.06103517 -0.12207034]
[-9.82795715 -0.24309438 -0.74245572], [ 0.24414068  0.06103517 -0.12207034]
[-9.82795715 -0.2442919  -0.74485087], [ 0.24414068  0.12207034 -0.12207034]
[-9.83394623 -0.24668694 -0.74724579], [ 0.24414068  0.12207034 -0.12207034]
[-9.83274841 -0.24548942 -0.74844337], [ 0.24414068  0.12207034 -0.12207034]
[-9.82436752 -0.23111933 -0.75562835], [ 0.24414068  0.12207034 -0.12207034]
[-9.82316971 -0.23231679 -0.75323343], [ 0.24414068  0.12207034 -0.18310553]
[-9.81957626 -0.23830438 -0.75083828], [ 0.24414068  0.12207034 -0.12207034]
[-9.81837845 -0.23830438 -0.74964094], [ 0.24414068  0.12207034 -0.12207034]
[-9.81837845 -0.23590934 -0.75083828], [ 0.24414068  0.12207034 -0.12207034]
